Danh sách các nodes,Start Node,End Node,Distance
0-Cổng,0,1,26.29
1,1,2,38.3
2,1,7,104.76
3-B3,1,3,45.85
4-B1,2,4,53.72
5-B2,2,6,94.29
6,3,7,73.01
7,3,9,121.07
8,4,5,77.03
9-B4,5,6,47.33
10-B6,6,7,37.82
11,6,13,114.12
12,7,9,62.56
13,7,35,41.87
14-A1,8,7,42.08
15-A2,8,9,19.84
16,8,35,47.9
17-A3,8,11,61.18
18-A5,9,10,114.02
19-A4,11,10,48.68
20,11,18,35
21,11,23,62.12
22,11,21,79.75
23,12,15,45.15
24,12,11,56.03
25-C1,12,18,35.88
26,12,16,80.25
27,13,14,35.14
28-B11,13,15,46.77
29,13,12,46.64
30-C2,13,17,116.26
31-C3,14,15,40.95
32-C4,14,17,93.53
33-C5,15,16,26.93
34-C6,16,17,45.61
35,16,20,46.41
,18,19,35.93
,19,21,61.28
,19,20,42.82
,19,16,70.51
,20,21,13.04
,20,29,44.51
,21,22,13.2
,22,24,67.34
,22,28,49.64
,22,23,26
,23,10,63.3
,23,24,97.72
,24,25,14.39
,24,26,51.03
,26,32,45.14
,26,33,52.3
,27,26,10.21
,27,31,45.18
,27,32,52.59
,28,27,19.91
,29,28,18.23
,29,30,53.13
,29,17,69.6
,30,31,59.2
,31,32,46.23
,32,33,34.44
,33,34,36.97
,35,12,58.26
